BWV,Titre,Tonalite_ecrite_fichier,Tonalite_detectee_analyse,Score_adequation,Cadence_finale,Tierce_picarde,Reference_bach-chorales.com,Modal_reference,Commentaire_reference,A_verifier
BWV 2/6,"Ach Gott, vom Himmel sieh darein",D mineur,G mineur,0.952,dominant-ending,,G minor,Dorian,G Dorian key signature. Bach writes in E flats.,armure/tonalite ecrite != detectee; accord final = dominante; modal (ref: Dorian)
BWV 3/6,"Ach Gott, wie manches Herzeleid (I)",A majeur,A majeur,0.94,tonic-ending,,A major,,,
BWV 4/8,Christ lag in Todesbanden (I),E mineur,E mineur,0.963,tonic-ending,oui,E minor,,"This setting appears in the Breitkopf–Riemenschneider in D minor, a M2 lower.",tierce picarde finale
BWV 5/7,Wo soll ich fliehen hin (I),G mineur,G mineur,0.995,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 6/6,"Erhalt uns, Herr, bei deinem Wort",G mineur,G mineur,0.988,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 8/6,"Liebster Gott, wenn werd ich sterben",E majeur,E majeur,0.929,tonic-ending,,E major,,,
BWV 9/7,Es ist das Heil uns kommen her (I),E majeur,E majeur,0.921,tonic-ending,,E major,,,
BWV 10/7,Meine Seele erhebt den Herren (I),G mineur,G mineur,0.981,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 11/6,"Du Lebensfürst, Herr Jesu Christ (I)",D majeur,D majeur,0.947,tonic-ending,,D major,,,
BWV 13/6,In allen meinen Taten (I),Bb majeur,Bb majeur,0.976,tonic-ending,,Bb major,,,
BWV 14/5,Wär Gott nicht mit uns diese Zeit (I),G mineur,G mineur,0.959,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 16/6,Helft mir Gotts Güte preisen (I),A mineur,A mineur,0.985,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 17/7,"Nun lob, mein Seel, den Herren (I)",A majeur,A majeur,0.931,tonic-ending,,A major,,,
BWV 18/5,Durch Adams Fall ist ganz verderbt,A mineur,D mineur,0.975,dominant-ending,,G minor,,"Ambiguous tonality. Chorale begins in C minor (with an C Dorian key signature), moves quickly to G minor and eventually ends in G minor This setting appears in the Breitkopf–Riemenschneider in D minor, a M2 lower. The NLGB setting begins in D Dorian, ends in A minor.",armure/tonalite ecrite != detectee; accord final = dominante
BWV 19/7,"Freu dich sehr, o meine Seele",C majeur,C majeur,0.967,tonic-ending,,C major,,,
BWV 20/7-11,"O Ewigkeit, du Donnerwort (I)",F majeur,F majeur,0.973,tonic-ending,,,,,
BWV 24/6,"O Gott, du frommer Gott (I)",F majeur,F majeur,0.951,tonic-ending,,F major,,"Chorale begins in a D minor tonality, though moves quickly to F major and eventually ends in F major. The tune itself is an F major melody.",
BWV 25/6,"Treuer Gott, ich muss dir klagen (I)",C majeur,C majeur,0.945,tonic-ending,,C major,,,
BWV 26/6,"Ach wie flüchtig, ach wie nichtig",A mineur,A mineur,0.947,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 27/6,"Welt, ade! Ich bin dein müde",F majeur,Bb majeur,0.956,tonic-ending,,Bb major,Lydian,Bach’s setting matches the NLGB exactly.,armure/tonalite ecrite != detectee; modal (ref: Lydian)
BWV 28/6,Helft mir Gotts Güte preisen (II),A mineur,A mineur,0.995,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 29/8,"Nun lob, mein Seel, den Herren (II)",D majeur,D majeur,0.938,tonic-ending,,D major,,,
BWV 30/6,"Tröstet, tröstet meine Lieben",A majeur,A majeur,0.937,tonic-ending,,A major,,"Chorale appears in the Breitkopf collection in G major, down a M2.",
BWV 32/6,"Weg, mein Herz, mit den Gedanken",G majeur,G majeur,0.981,tonic-ending,,G major,,,
BWV 33/6,"Allein zu dir, Herr Jesu Christ (I)",C majeur,A mineur,0.977,tonic-ending,oui,A minor,,"NLGB setting begins in C major, ends in A minor.",armure/tonalite ecrite != detectee; tierce picarde finale
BWV 36/4,Wie schön leuchtet der Morgenstern (I),D majeur,D majeur,0.971,tonic-ending,,D major,,,
BWV 36/8,"Nun komm, der Heiden Heiland (I)",B mineur,B mineur,0.98,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 37/6,"Ich dank dir, lieber Herre (I)",A majeur,A majeur,0.938,tonic-ending,,A major,,,
BWV 38/6,Aus tiefer Not schrei ich zu dir,A mineur,A mineur,0.995,dominant-ending,,A minor,Phrygian,"This tune itself is an E Phyrgian melody. Bach, however, casts it in an A minor tonality, opening with a striking dissonant V42 chord and ending with an open–ended half cadence.",accord final = dominante; modal (ref: Phrygian)
BWV 39/7,"Kommt, lasst euch den Herren lehren",Bb majeur,Bb majeur,0.949,tonic-ending,,Bb major,,"This setting appears in the Breitkopf–Riemenschneider in G major, a m3 lower.",
BWV 40/3,Wir Christenleut habn jetzund Freud (I),D mineur,G mineur,0.98,tonic-ending,oui,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
