categorie,opus,fichier,notre_titre,titre_nba
punctuation_ou_casse,BWV 332,"Herr_Jesu_Christ,_dich_zu_uns_wend_(BWV_332)_Jean_Sébastien_Bach_layout.ly","Herr Jesu Christ, dich zu uns wend","Herr, Jesu Christ, dich zu uns wend"
a_verifier,BWV 33/6,"Allein_zu_dir,_Herr_Jesu_Christ_(BWV_33_6)_Jean_Sébastien_Bach_layout.ly",Ehr sei Gott in dem höchsten Thron,"Allein zu dir, Herr Jesu Christ"
a_verifier,BWV 441,"Auf,_auf,_mein_Herz,_mit_Freuden_(BWV_441)_Jean_Sébastien_Bach_layout.ly","Auf, auf, mein Herz, mit Freuden",ZZZ
a_verifier,BWV 38/6,Aus_tiefer_Not_schrei_ich_zu_dir_(BWV_38_6)_Jean_Sébastien_Bach_layout.ly,Ob bei uns ist der Sünden viel,Aus tiefer Not schrei ich zu dir
a_verifier,BWV 275,"Christe,_du_Beistand_deiner_Kreuzgemeine_(BWV_275)_Jean_Sébastien_Bach_layout.ly","Christe, du Beistand deiner Kreuzgemeine","Christe, du Beistand"
a_verifier,BWV 1089,Da_Jesus_an_dem_Kreutze_stund_(BWV_1089)_Jean_Sébastien_Bach_layout.ly,Da Jesus an dem Kreutze stund,
a_verifier,BWV 286,"Danket_dem_Herrn,_denn_er_ist_sehr_freundlich_(BWV_286)_Jean_Sébastien_Bach_layout.ly","Danket dem Herrn, denn er ist sehr freundlich",Danket dem Herren
a_verifier,BWV 291,Das_walt_mein_Gott_(BWV_291)_Jean_Sébastien_Bach_layout.ly,Das walt mein Gott,"Das walt mein Gott, Vater, Sohn und heiliger Geist"
a_verifier,BWV 1122,"Denket_doch,_ihr_Menschenkinder_(BWV_1122)_Jean_Sébastien_Bach_layout.ly","Denket doch, ihr Menschenkinder",ZZZ
a_verifier,BWV 297,Die_Sonn_hat_sich_mit_ihrem_Glanz_gewendet_(BWV_297)_Jean_Sébastien_Bach_layout.ly,Die Sonn hat sich mit ihrem Glanz gewendet,Die Sinn hat sich mit ihrem Glanz
a_verifier,BWV 11/6,"Du_Lebensfürst,_Herr_Jesu_Christ_(BWV_11_6)_Jean_Sébastien_Bach_layout.ly","Du Lebensfürst, Herr Jesu Christ","Du Du Lebensfürst, Herr Jesu Christ"
a_verifier,BWV 18/5,Durch_Adams_Fall_ist_ganz_verderbt_[de]_(BWV_18_5)_Jean_Sébastien_Bach_layout.ly,"Ich bitt, o Herr, aus Herzens Grund",Durch Adams Fall ist ganz verderbt
a_verifier,BWV 245/22,"Durch_dein_Gefängnis,_Gottes_Sohn_(1_v.)_(BWV_245_22)_Jean_Sébastien_Bach_layout.ly","Durch dein Gefängnis, Gottes Sohn","Durch dein Gefängis, Gottes Sohn"
a_verifier,BWV 80/8,Ein_feste_Burg_ist_unser_Gott_(BWV_80_8)_Jean_Sébastien_Bach_layout.ly,Das Wort sie sollen laßen stahn,Ein feste Burg ist unser Gott
a_verifier,BWV 306,Erstanden_ist_der_heilig_Christ_(BWV_306)_Jean_Sébastien_Bach_layout.ly,Erstanden ist der heilig Christ,Erstanden ist der heilge Christ
